11-02 13:39:18: Training starting...
11-02 13:39:19: New best reward 10.0 (-100.0%) at episode 0, saving model...
11-02 13:39:19: New best reward 11.0 (+10.0%) at episode 4, saving model...
11-02 13:39:19: New best reward 12.0 (+9.1%) at episode 5, saving model...
11-02 13:39:19: New best reward 13.0 (+8.3%) at episode 31, saving model...
11-02 13:39:19: New best reward 16.0 (+23.1%) at episode 159, saving model...
11-02 13:39:21: New best reward 17.0 (+6.2%) at episode 1529, saving model...
11-02 13:39:21: New best reward 20.0 (+17.6%) at episode 1545, saving model...
11-02 13:39:21: New best reward 24.0 (+20.0%) at episode 1576, saving model...
11-02 13:39:21: New best reward 34.0 (+41.7%) at episode 1582, saving model...
11-02 13:39:21: New best reward 35.0 (+2.9%) at episode 1587, saving model...
11-02 13:39:21: New best reward 42.0 (+20.0%) at episode 1588, saving model...
11-02 13:39:21: New best reward 53.0 (+26.2%) at episode 1594, saving model...
11-02 13:39:21: New best reward 54.0 (+1.9%) at episode 1598, saving model...
11-02 13:39:21: New best reward 64.0 (+18.5%) at episode 1600, saving model...
11-02 13:39:21: New best reward 84.0 (+31.2%) at episode 1603, saving model...
11-02 13:39:21: New best reward 106.0 (+26.2%) at episode 1604, saving model...
11-02 13:39:21: New best reward 179.0 (+68.9%) at episode 1606, saving model...
11-02 13:39:22: New best reward 219.0 (+22.3%) at episode 2022, saving model...
11-02 13:39:27: New best reward 246.0 (+12.3%) at episode 4554, saving model...
11-02 13:39:35: New best reward 324.0 (+31.7%) at episode 8687, saving model...
11-02 13:39:44: New best reward 406.0 (+25.3%) at episode 11953, saving model...
11-02 13:39:46: New best reward 413.0 (+1.7%) at episode 12795, saving model...
11-02 13:39:46: New best reward 726.0 (+75.8%) at episode 12817, saving model...
11-02 13:39:47: New best reward 892.0 (+22.9%) at episode 12981, saving model...
