11-02 12:12:41: Training starting...
11-02 12:12:44: New best reward -6.9 (-100.0%) at episode 0, saving model...
11-02 12:12:44: New best reward -5.1 (-26.1%) at episode 1, saving model...
11-02 12:12:44: New best reward -4.5 (-11.8%) at episode 19, saving model...
11-02 12:12:45: New best reward -2.1 (-53.3%) at episode 180, saving model...
11-02 12:12:46: New best reward -0.9 (-57.1%) at episode 222, saving model...
11-02 12:12:51: New best reward 3.3 (-466.7%) at episode 996, saving model...
11-02 12:12:56: New best reward 3.9 (+18.2%) at episode 1872, saving model...
11-02 12:13:42: New best reward 4.0 (+2.6%) at episode 8743, saving model...
11-02 12:13:47: New best reward 4.5 (+12.5%) at episode 9599, saving model...
11-02 12:13:48: New best reward 4.6 (+2.2%) at episode 9747, saving model...
11-02 12:14:04: New best reward 4.7 (+2.2%) at episode 12156, saving model...
11-02 12:14:06: New best reward 4.9 (+4.3%) at episode 12506, saving model...
11-02 12:14:07: New best reward 6.0 (+22.4%) at episode 12658, saving model...
11-02 12:14:15: New best reward 6.2 (+3.3%) at episode 13903, saving model...
11-02 12:14:16: New best reward 6.6 (+6.5%) at episode 13924, saving model...
11-02 12:14:45: New best reward 8.4 (+27.3%) at episode 18369, saving model...
11-02 12:15:22: New best reward 9.2 (+9.5%) at episode 23526, saving model...
11-02 12:15:26: New best reward 9.4 (+2.2%) at episode 24096, saving model...
11-02 12:21:18: New best reward 11.0 (+17.0%) at episode 45373, saving model...
11-02 12:21:25: New best reward 12.9 (+17.3%) at episode 46073, saving model...
11-02 12:25:23: New best reward 17.9 (+38.8%) at episode 65127, saving model...
11-02 12:25:59: New best reward 20.3 (+13.4%) at episode 68697, saving model...
11-02 12:26:29: New best reward 20.7 (+2.0%) at episode 71781, saving model...
11-02 12:26:45: New best reward 22.4 (+8.2%) at episode 73105, saving model...
11-02 12:27:04: New best reward 22.5 (+0.4%) at episode 74755, saving model...
11-02 12:27:04: New best reward 26.9 (+19.6%) at episode 74804, saving model...
11-02 12:28:03: New best reward 27.6 (+2.6%) at episode 80174, saving model...
11-02 12:28:05: New best reward 32.5 (+17.8%) at episode 80289, saving model...
11-02 12:29:41: New best reward 36.4 (+12.0%) at episode 88137, saving model...
11-02 12:31:31: New best reward 37.1 (+1.9%) at episode 102997, saving model...
11-02 12:31:35: New best reward 37.4 (+0.8%) at episode 103529, saving model...
11-02 12:31:48: New best reward 50.4 (+34.8%) at episode 105845, saving model...
11-02 12:36:03: New best reward 52.6 (+4.4%) at episode 147242, saving model...
11-02 12:38:03: New best reward 61.1 (+16.2%) at episode 162791, saving model...
11-02 12:43:55: New best reward 64.5 (+5.6%) at episode 212538, saving model...
11-02 12:44:22: New best reward 65.1 (+0.9%) at episode 216315, saving model...
11-02 13:08:17: New best reward 71.3 (+9.5%) at episode 385046, saving model...
11-02 13:08:29: New best reward 97.5 (+36.7%) at episode 386598, saving model...
11-02 13:19:47: New best reward 110.9 (+13.7%) at episode 460639, saving model...
